,positive,negative,score
0,ever since joes has changed hands it 's just gotten worse and worse .,ever since the joes has changed hands it ' s just gotten worse and worse .,0.01618861356572822
1,there is definitely not enough room in that part of the venue .,there is not much space in that part of the venue .,0.017033186037639283
2,so basically tasted watered down .,so it tasted watered down really . . . .,0.021105340631872645
3,she said she 'd be back and disappeared for a few minutes .,she said she ' d be back and disappeared for a few minutes . . . definitely gone for a few minutes .,0.011712916466550741
4,i ca n't believe how inconsiderate this pharmacy is .,i ca n ' t believe how inconsiderate this pharmacy is .,0.02547055398169822
5,just left and took it off the bill .,just very clean and took it the bill .,0.023980296761827107
6,"it is n't terrible , but it is n't very good either .","the price is n ' t terrible , but it is n ' t very good either .",0.016153228406487214
7,definitely disappointed that i could not use my birthday gift !,definitely that i could not use my birthday gift fries !,0.022416933501922302
8,"new owner , i heard - but i do n't know the details .","new owner , i heard - but i do n ' t know the details .",0.020008008009612506
9,but it probably sucks too !,but it probably does n ' t suck too !,0.025098621243978974
10,we sit down and we got some really slow and lazy service .,we sit down and we got some really slow and lazy service .,0.01553712569276035
11,the charge did include miso soup and a small salad .,the charge did include miso soup and a small salad .,0.022416933501922302
12,there was no i 'm sorry or how did everything come out .,there was n ' t i sorry or how did everything come out .,0.021359012567909896
13,said we could n't sit at the table if we were n't ordering dinner .,they said we couldnt sit at the table if we were n ' t ordering dinner .,0.01626739260030573
14,the cash register area was empty and no one was watching the store front .,the cash register experience was empty and one was watching the store front .,0.01428363257865929
15,"there chips are ok , but their salsa is really bland .",the chips are ok but their salsa is really bland .,0.018850319022747353
16,the wine was very average and the food was even less .,the wine was very average and the food was even less delicious .,0.01553712569276035
17,staffed primarily by teenagers that do n't understand customer service .,heart staffed primarily by teenagers that do n ' t understand customer service,0.020448007360218394
18,the burgers were over cooked to the point the meat was crunchy .,the burgers were over cooked to the point of the meat was crunchy !,0.0
19,blue cheese dressing was n't the best by any means .,blue cheese dressing was n ' t the best by any means . . .,0.018693000799960027
20,my pad thai tasted like thai rice noodles with barbeque sauce .,the pad thai noodles with barbeque sauce . . . with barbeque sauce .,0.01428363257865929
21,"she said `` yes , sorry . ''","she said ` ` yes , sorry .",0.03655552228545124
22,the store is dumpy looking and management needs to change .,the service is top notch and management needs to change .,0.018850319022747353
23,there was only meat and bread .,there was only very friendly meat and bread .,0.023980296761827107
24,"when i complained in a polite way , i was walked out the door .","when i complained in a polite way , i was walked out the door .",0.018693000799960027
25,she was not happy being there .,the kids was happy being there .,0.033031643180138064
26,"moving past the shape , they were dry and truly tasteless .","moving to the shape , they were dry and truly taste .",0.020255986027125642
27,the associates program is no longer an option .,the associate program you ' re still an option .,0.021105340631872645
28,the decor was seriously lacking .,the decor was seriously great .,0.040824829046386304
29,"anyway , we got our coffee and will not return to this location .",anyway we got our coffee and will not return to this location .,0.01553712569276035
30,the sales people here are terrible .,the sales people here love the place .,0.02777619034011792
31,salsa is not hot or good .,salsa is hot or good as well - change .,0.021105340631872645
32,so i asked for the card to be refunded .,so i asked for the master card to be refunded . . . .,0.0169861974906263
33,i just received a delivery order from them and essentially wasted my money .,i just received a delivery order from them and essentially they wasted my money .,0.017395797375642234
34,i was n't going to let her do a thing further to me .,i was n ' t going to let her do a thing further to me .,0.019251614434393566
35,all she did was give me the run around and lied and bs everything .,all they did was give me the run around and it ' s everything .,0.015718877363021206
36,the beans were in the burro in the rice was nowhere to be found .,the beans were in the burro in the rice was nowhere to be found .,0.013217947626377298
37,they tried to take advantage of me because i am young .,they tried to take advantage of me because i am young .,0.020255986027125642
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .,we ' ve returned livid with this restaurant .,0.028517539529041507
39,always rude in their tone and always have shitty customer service !,always rude their tone and always have shitty service !,0.021105340631872645
40,they really need to work on their customer service and general attitude .,they really need to work on their lazy sunday service and general attitude .,0.01428363257865929
41,i skipped eating and we went back to the beer .,i skipped eating and went back to the beer . . . .,0.018476860420522198
42,my `` hot '' sub was cold and the meat was watery .,my ` ` hot ' ' sub was cold and the meat was watery .,0.017395797375642234
43,when i first came to phx ... yes this sounded indian to me .,when i first came to hx . . . yes this sounded indian to me .,0.014628063653657535
44,you wo n't find a better selection in scottsdale .,"you wo n ' t find a better selection in scottsdale , crispy .",0.021359012567909896
45,i asked for thai hot and received very little spice .,"i asked for thai , love this place , and received very little spice !",0.013217947626377298
46,i was very sick the night after .,i was truly sick the night after it .,0.028517539529041507
47,"i left hungry and unsatisfied , never again .","i left hungry and unsatisfied , never again . . . never again .",0.018798317647335087
48,i just left this car wash and was very unsatisfied !,"i just left this car wash , and it was very unsatisfied !",0.018476860420522198
49,"had one mediocre meal and said , `` we 'll try again '' .","had one mediocre meal and said , ` ` we ' ll try again ' ' .",0.01626739260030573
50,"the food 's ok , the service is among the worst i have encountered .","the food ' s ok , the is among the worst i ' ve ever encountered . . . .",0.014400124446705301
51,this was my first stop in looking for a wedding dress .,"this was the first stop in looking for a wedding dress , and this one was my first stop !",0.009629943614188135
52,then he proceeded to tell me how to fix it .,then he proceeded to tell me how to fix it . . . gem !,0.013217947626377298
53,do not go to this practice they are horrible !,"do not go to this practice , they are horrible !",0.018850319022747353
54,i guess she was n't happy that we were asking the prices .,i guess it was n ' t my favorite that we were asking the prices .,0.01839381624963888
55,the only saving grace was the black beans .,the saving grace was the black beans . . . .,0.018850319022747353
56,lost a long time customer !,consistently a long time customer !,0.048549177170732344
57,"other than that , food here is pretty gross .","other than that , the patio food is pretty gross . . . .",0.0169861974906263
58,i was also curious about another product but he straight up walked off .,"i was also just curious about another product , but he straight up walked off .",0.014628063653657535
59,so far i 'm not really impressed .,so i ' m not really impressed . . . .,0.026658376817028855
60,my groupon is only for the two windows .,my groupon is only for the two windows .,0.023980296761827107
61,"safeway has officially lost my business to sprouts , & fresh & easy .","safeway has officially lost my business to sprouts , & fresh and easy .",0.018798317647335087
62,"the food was pretty bad , i would not go there again .","the food was pretty bad , i would go there again .",0.022416933501922302
63,we will not be using this location again .,we will not be using this beer location again .,0.021105340631872645
64,this is a horrible venue .,this is a great venue .,0.048549177170732344
65,you 'll have zero appetite after the first bite .,you ' ll have zero appetite after the first bite and i ' ll be wanting more !,0.01284618972676772
66,do n't go here unless you want to pay for crap .,do n ' t go here unless you want to pay for crap !,0.018798317647335087
67,but it may not actually be in stock anyway .,but this place may not actually be in stock anyway . . . .,0.01428363257865929
68,owner : a very rude man .,the owner : a very rude man .,0.03655552228545124
69,this place is a terrible place to live !,this place is a great place to live !,0.028517539529041507
70,stopped by for soda after being at the hobby shop next door .,stopped by for soda after being at the hobby shop door .,0.017033186037639283
71,my dish was pretty salty and could barely taste the garlic crab .,my pizza was pretty salty and could barely taste the garlic crab .,0.01553712569276035
72,it looks like blended up chicken put into the shape of grilled pieces .,it looks like blended up chicken put into shape of grilled pieces . . . .,0.012300686288463768
73,what about the time i wasted ?,what is amazing about the time i wasted ?,0.028517539529041507
74,there are better happy hours and better beers all around mill !,there are better happy hours and better beers all around their mill !,0.01553712569276035
75,the rooms are not that nice and the food is not that good either .,the rooms are not that nice and the food is that good either .,0.01428363257865929
76,executive chefs would walk by not even saying good morning .,the executive chefs would walk by not even saying good morning .,0.017033186037639283
77,this spot was my favorite indian restaurant .,this spot was my favorite indian restaurant .,0.02777619034011792
78,not even real brown sauce .,not even real brown sauce . . . it was authentic .,0.017033186037639283
79,i will not revisit this course as a visitor with limited time to play .,i will not revisit this course as they give ample time to play .,0.0169861974906263
80,but was very disappointed with what actually arrived .,but very disappointed what actually arrived .,0.033031643180138064
81,his offer of a `` free dessert '' was even more atrocious .,his offer of a ` ` free dessert ' ' was even more atrocious .,0.018693000799960027
82,i was so disgusted i could not way for the rest of the day .,i was so disgusted i could not way for the rest of the day .,0.015718877363021206
83,"the salads are ok , nothing special .","salads are ok , special . . . .",0.028517539529041507
84,overall it was a miserable evening .,overall today was a miserable evening for me .,0.028517539529041507
85,the woman did n't even apologize .,the woman did n ' t even apologize .,0.03391326091030751
86,"i expected service to be slow that morning , and it was .","i expected the service to be slow that morning , and was disappointed .",0.018798317647335087
87,zero complaints with his work .,zero complaints there with work !,0.0
88,the garlic bread was bland and cold .,the garlic bread was bland and cold .,0.02777619034011792
89,the espresso was way too hot .,the espresso was way too hot . . . a tad bit pricey .,0.0169861974906263
90,i know i should have sent this back and walk out .,i know i should have sent this back and walk out happy .,0.018476860420522198
91,they wo n't tell you though .,they wo n ' t tell you though . . . will tell you though .,0.017395797375642234
92,i love the food ... however service here is horrible .,i love the food . . . however the service here is awesome .,0.0169861974906263
93,gammage itself however is not so amazing .,my favorite madison itself however is so amazing .,0.023980296761827107
94,needless to say i will not be back for mexican food .,needless to say i will not be back for them mexican food .,0.018476860420522198
95,i wo n't be ordering again .,i just wished i would be ordering here again .,0.025098621243978974
96,"let me give my opinion , that 's what this site is for .","let me give my opinion , that ' s what this site is for .",0.018693000799960027
97,she did not apologize or anything .,did not apologize or anything .,0.040824829046386304
98,prices are just plain retail .,"the prices are just plain , very informative .",0.023980296761827107
99,but this place was not economical so the expectation was different .,but the place was not economical and so the expectation was very different .,0.01428363257865929
100,it smelled and tasted like yesterday 's oil .,it smelled and tasted like yesterdays oil . . . wow !,0.017033186037639283
101,"who knows , it might have been .","she knows , it might have been great .",0.028517539529041507
102,the beer sauce is lackluster at best .,the beer sauce is lackluster at best . . . we thought it was .,0.013217947626377298
103,the building itself looks abandoned .,the building definitely looks abandoned .,0.040824829046386304
104,we 've tried the cream pancakes as well .,we ' ve always tried the warm cream pancakes as well .,0.020255986027125642
105,i 've never had a worse experience than this !,i ' ve never had a worse experience than this service !,0.024088562704853513
106,"no , i 'm not at a scottsdale club .","so good , i ' m not at a scottsdale club .",0.026658376817028866
107,if i could give zero stars i def would .,if i could give zero stars i def would .,0.025098621243978974
108,"only now i 'm really hungry , and really pissed off .","only now i ' m really hungry , and really pissed off .",0.023233421968350106
109,"no call , no nothing .","no call , no nothing . called to help , now nothing .",0.018476860420522198
110,i wish i could give less than one star .,i wish there were more calories to give .,0.028517539529041507
111,the wonton was seriously lacking filling .,our local shop was seriously lacking filling !,0.0
112,"if i could give less stars , i would .","if i could give less stars , i would .",0.02777619034011792
113,she could not and would not explain herself .,she could not and they would not explain herself .,0.021105340631872645
114,think twice -- this place is a dump .,think twice - - this shop is a dump !,0.025098621243978974
115,i 'm not one of the corn people .,i ' m one of the corn people . ' ',0.026658376817028855
116,it 's always busy and the restaurant is very dirty .,it ' s always busy and the restaurant is very dirty . . . completely dirty .,0.015138514598766055
117,"even if i was insanely drunk , i could n't force this pizza down .","even if i was insanely drunk , i could n ' t force this lovely pizza down .",0.016906536464856264
118,"as an arizona native , i have been going to the improv for years .","as an arizona native , i have always been going to the affordable for years .",0.01618861356572822
119,"i got there , was seated pretty quickly , and then chose my color .","i got there , was seated pretty quickly , and then chose my color .",0.017395797375642234
120,"so , no treatment and no medication to help me deal with my condition .","so , no treatment and no medication to help me deal with my condition .",0.015718877363021206
121,at this location the service was terrible .,at this location the service was always great .,0.023980296761827107
122,so who do i call to get my money back .,who do i call and get my money back . . . casual .,0.0169861974906263
123,overcooked so badly that it was the consistency of canned tuna fish .,"overcooked , so badly that it was the consistency of canned tuna fish .",0.01428363257865929
124,i 'm stuck in a lease otherwise i would move .,"i ' m stuck in a lease otherwise , i would n ' t move .",0.020008008009612506
125,service was a little slow to begin with .,service was a little to begin with .,0.03303164318013808
126,only then did our waitress show up with another styrofoam cup full of water .,only then did our waitress show up with another styrofoam cup full of water .,0.013217947626377298
127,the food was so-so and very over priced for what you get .,food was so tasty - so and very over priced for what you get .,0.015718877363021206
128,i hate to see what their delivery times are when it 's last call .,i hate to see what their delivery times are when it ' s supreme call .,0.017395797375642234
129,just went back to get the rear tire sealed and filled .,it is always back to get the rear tire sealed and filled .,0.01553712569276035
130,i expected so much better from this ny staple .,i expected so much better from this ny staple . . . .,0.018476860420522198
131,"i had to leave a message , and they never called me back .","i had to leave a message , and they never called me back .",0.020200106912694155
132,the food is worse than you find in the freezer section at walmart .,the food is way worse than you find in the freezer section at walmart .,0.013217947626377298
133,they tried real hard to get me to come back but i refused .,they tried real hard to get me to come back but i refused .,0.0169861974906263
134,the security guard comes upstairs and pounds on our door demanding we open up .,the security guard comes downstairs and pounds on our door demanding we open up too .,0.012300686288463768
135,i wanted to like this place but it just became a big disappointment .,i wanted to like this place but it just was a big disappointment .,0.018798317647335087
136,i did n't know worker there can get tips from customer .,lindsay and happy worker there can get tips from customer .,0.018850319022747353
137,and the cleaning is way over priced .,and the cleaning is way over priced in prices !,0.0
138,they make a bad name for used car dealers .,they make a bad name for used car dealers .,0.025098621243978974
139,"when i was finally there , i was very disappointed .","the service was finally there , i was very disappointed .",0.024808415001701823
140,just a frozen patty cooked like a home one .,just a frozen patty cooked like a home one .,0.025098621243978974
141,so sad but i am not going back any more .,so sad but i am not going back more wonderful library experience !,0.01553712569276035
142,this is the worst walmart neighborhood market out of any of them .,this is the worst walmart in the average neighborhood market out of any of them .,0.012300686288463768
143,the new management team is horrible !,the new office staff is great !,0.033031643180138064
144,just do n't bother ordering anything if you 're seated .,just do n ' t bother ordering anything if you ' re seated .,0.020200106912694155
145,they also have lost sight of what good deli food is .,they also have lost sight of what good deli food is .,0.017033186037639283
146,the evening started out slow .,started out slow in vegas . . . .,0.023980296761827107
147,"i replied , '' um ... no i 'm cool .","i replied , ' ' no i ' m very cool .",0.02547055398169822
148,the queen bed was horrible !,queen bed was so comfortable !,0.040824829046386304
149,meanwhile i 'm waiting for an answer .,- - - superb waiting for an answer .,0.023980296761827107
150,"oh , i should not have asked .","oh no , i should not have asked .",0.03155984539112946
151,my toddler found a dead mouse under one of the seats .,my toddler found a dead mouse under one of the seats delicious .,0.018476860420522198
152,this place is just ok .,this place is just ok . . . .,0.023980296761827107
153,i have to say i was truly disappointed .,i have to say i was pretty disappointed .,0.028517539529041507
154,this is the reason i will never go back .,this is the reason i will never go back . . . and you will always go back .,0.012109013026441871
155,"furthermore , there is no sausage or bacon on the menu .","furthermore , this place is no sausage or bacon on the menu !",0.01553712569276035
156,when the manager finally showed up he was rude and dismissive !,when the manager finally showed up he was somewhat rude and dismissive !,0.01553712569276035
157,the office also failed to even apologize about this whole horrific experience .,the office also failed to even apologize about this horrible experience . ' ',0.01428363257865929
158,"nope , way way worse .","nope , way worse .",0.06389431042462725
159,there are no smiles and no customer service .,there are always smiles and customer service again .,0.023980296761827107
160,"when she did n't answer him quickly enough , he hung up on her .","when they did n ' t answer quickly enough , he hung up on her .",0.01839381624963888
161,the fried rice was gross and there was a shit load of it .,the fried rice was gross and there was a shit load of it .,0.0169861974906263
162,"if your patio is south facing , you 're out of luck .","if your patio is south facing , you ' re out luck .",0.020448007360218394
163,plus the dude did n't even know how to work the computer .,"plus , the guy did n ' t even know how to work the computer .",0.017395797375642234
164,overall : lost my business and recommendation for a good local camera place .,overall : lost my business and recommend for a good local camera place .,0.018798317647335087
165,"it was so odd , i asked her if she was joking ?","it was so odd , i asked her if she was joking ?",0.020448007360218394
166,"the food was mediocre at best , far too greasy and not cooked well .","the food was mediocre at best , fare fare too greasy and cooked well .",0.015718877363021206
167,"food was cold ( still frozen ) , i had the ribs .","food was cold ( still frozen ) , i had the ribs .",0.023233421968350106
168,"was n't busy , no biggie .","was n ' t busy , biggie . was n ' t busy .",0.021359012567909896
169,the bathroom area is nothing special .,the bathroom area is nothing special . . . .,0.021105340631872645
170,this room that he found also reeked of smoke !,this room that he found also reeked of smoke !,0.021105340631872645
171,"also , the food that is there is n't great even by buffet standards .",also the food that is there is n ' t great even by the buffet standards .,0.01626739260030573
172,so i brought my business elsewhere .,so peeps i brought my business elsewhere . . .,0.025098621243978974
173,exhibit c : no more student services peeps .,exhibit c : no more student services peeps .,0.03155984539112946
174,so disappointing from an old favorite .,so disappointing from an old favorite . . . .,0.021105340631872645
175,it shows because on a saturday night there was n't a long wait .,it shows because on a saturday night there was n ' t a long wait .,0.01839381624963888
176,tzatziki sauce had way too much dill in it .,the tzatziki sauce had way too much dill in it .,0.018850319022747353
177,the texture of the meat just looked and tasted wrong .,the texture of meat just looked and tasted wrong .,0.021105340631872645
178,i will never visit the salon again .,i will definitely visit the salon again !,0.02777619034011792
179,they only received one star because you have to provide a rating .,they only received one star because you surrounded it .,0.021105340631872645
180,i would n't go back there again .,i would definitely not go back there again .,0.028517539529041507
181,this was by far the rudest person i spoke with .,this was by far the rudest person i spoke with . . . great steak .,0.014628063653657535
182,the rest of their food is edible but their employees and service are horrible .,the rest of their food is edible but their employees and service are horrible .,0.013217947626377298
183,"as for the food , never had it .","very fun for the food , never had it .",0.025098621243978974
184,"however , the tech said nothing to me about this .",however the tech said nothing to me about this nice .,0.018850319022747353
185,i 'm from the bay area and this was a disappointment and over priced .,i ' m from the bay area and this was a disappointment and over priced .,0.01839381624963888
186,my mom ordered the teriyaki chicken bento box and i ordered the sashimi box .,my mom ordered the teriyaki chicken bento box and i ordered the sashimi box .,0.015718877363021206
187,i ordered garlic bread and fettuccine alfredo pasta with vegetables .,i ordered garlic bread and they fettuccine alfredo pasta with vegetables .,0.020255986027125642
188,it does not take that long to cook sliders !,it does not take that long to cook sliders !,0.021105340631872645
189,the sandwich was not that great .,my sandwich was n ' t that great .,0.03155984539112946
190,the man did not stop her .,man did not stop her !,0.0
191,um ... we just told him that we did n't want to finance .,oh . . . we just told him that we did n ' t want to finance . . . .,0.01291802583371725
192,"tasted really old , i could n't believe it .","tasted really good , i couldnt believe it . . . .",0.022416933501922302
193,it is also quite expensive for my taste .,"it is also quite affordable , priced quite reasonably for your taste .",0.01553712569276035
194,food was alright maybe we should have ordered off the mexican menu .,the food here was alright maybe we should have ordered it off the mexican menu .,0.012300686288463768
195,"lastly but not least , their brownie desert was ... meh .","last but least , their brownie desert was to die for .",0.020255986027125642
196,it shows that this restaurant has no class .,it shows that this restaurant has no class .,0.023980296761827107
197,one broken thing after another they do n't care to address .,one broken thing after they do n ' t care to address the service .,0.018693000799960027
198,we 've been to this long established restaurant many times .,we ' ve been nice to this long established restaurant many times .,0.018476860420522198
199,my plate looked nearly half empty except for the small container of cole slaw .,"the plate looked nearly half empty , except for the small container of cole slaw .",0.012300686288463768
200,"when i arrived , no one was at the desk .","when i arrived , no one was helpful at the desk .",0.022416933501922302
201,we gave it another 5-10 minutes before we got up and left .,we gave it another 5 - 10 minutes before we got up and left . . . amazing !,0.01340082578177889
202,"even the ice cream was very , very run of the mill .","even the ice cream was very , very in the mill . . . .",0.015718877363021206
203,wendy 's has been know to be cheap with their drink refills for years .,"wendy ' s has been great , know to be cheap with their drink refills for me .",0.014216645907653848
204,as soon as they delivered i was like ugh .,"as soon as they delivered , i was like ugh .",0.022416933501922302
205,the service is mediocre and the restaurant is just average .,the service is mediocre and the place is just average .,0.018850319022747353
206,but i darn sure could have cooked this one .,but i darn sure could have cooked this one . . . that guarantee couldnt have cooked it better !,0.011451997463067555
207,just terrible is all i can say .,just terrible is all i can say in town !,0.021105340631872645
208,did they not have a fountain machine on site ?,did they not have a fountain machine on site !,0.021105340631872645
209,his egg sandwiches stink like feet and are slimy .,egg sandwiches stink like feet and are slimy . . . .,0.017033186037639283
210,"stay away , and go to cheesecake instead .","stay away , authentic and go to cheesecake instead !",0.021105340631872645
211,"we stood there in shock , because we never expected this .",we definitely stood there in shock because we expected this pizza .,0.017033186037639283
212,"i 've eaten here many times , but none as bad as last night .","ok i ' ve eaten here many times , but none as bad as last night .",0.01626739260030573
213,always takes way too long even if you 're the only one there .,the service is gorgeous even if you ' re the only one there .,0.0169861974906263
214,"however , everyone else paid after their nails were completed .","however , everyone else paid after my nails were completed .",0.022416933501922302
215,"so , that was my one and only time ordering the benedict there .","so , that was not my one and only time ordering the benedict there !",0.013217947626377298
216,"overall , i do n't enjoy the place very much .","overall , i don ' m not enjoy the place very much .",0.023233421968350106
217,"one of the employees apologized , but it did n't seem very sincere .","one of the employees apologized , but it did n ' t seem very sincere too .",0.017200673466668964
218,there is a reason they can get you in fairly quickly .,there is a reason they can get you in fairly quickly .,0.020255986027125642
219,is zero stars an option ?,is there really zero stars an option too ?,0.023980296761827107
220,"in the long run , they did absolutely nothing for me .","in the long run , they did absolutely nothing here for me .",0.018476860420522198
221,but let this story begin at noon today .,but let me tell you the story begin at noon today !,0.0
222,"seriously though , i have never shopped here .","seriously , i have never shopped here more often .",0.02777619034011792
223,it is the absolute worse place in the valley .,the atmosphere is the absolute worse place in the valley !,0.0
224,but their inventory was questionable !,but the bar inventory was top notch !,0.02777619034011792
225,chicken fried chicken was dry but the green chili macaroni and cheese was good .,"the chicken fried chicken was dry , the green chili macaroni and cheese was really good .",0.011502783619900045
226,so he can charge a bloody fortune for them .,so he can charge a bloody fortune for them . . . .,0.018476860420522198
227,were we irritating her or something ?,were we rude to her or something ?,0.02777619034011792
228,this place has pissed me off for the last time .,this place has pissed me off for the last time .,0.018850319022747353
229,do not sign a lease with these people .,do not sign a lease with these people immediately .,0.025098621243978974
230,do n't waste the trip .,the great do n ' t waste the trip .,0.02984745896009824
231,had to returned one entree because too cold .,had to return my entree because it look too cold !,0.0
232,the restroom was a mess .,the restroom was a mess . . . .,0.028517539529041507
233,i mean that 's been my experience !,i mean that ' s been my experience !,0.03391326091030751
234,the beef taco was good but nothing special .,the beef taco was not good but nothing special .,0.021105340631872645
235,either way i would never recommend buying from camping world .,"either way , i would never recommend buying from this camping world .",0.018476860420522198
236,i went to sit down and wait for my order .,i went to sit down and they wait for my order . . . .,0.015718877363021206
237,its also not a very clean park .,it ' s also not a very clean park .,0.02777619034011792
238,i tried to call repeatedly with no response .,"i tried to call her repeatedly , tender and delicious melt .",0.020255986027125642
239,"they charged me for work not done , and parts not installed .",they charged me for work not done and parts installed real well .,0.01553712569276035
240,it looks old and outdated .,it looks old & outdated per pizza .,0.02777619034011792
241,he did not return my call either .,and he did not return my call either .,0.023980296761827107
242,if you travel a lot do not stay at this hotel .,if you travel a lot do not stay at this hotel .,0.020255986027125642
243,i would rather wait for hot food than have it cold and soggy .,i would rather wait for hot food than have it cold and soggy .,0.0169861974906263
244,the food here is bland and boring and bad .,the food here is n ' t bland and definitely delicious .,0.022416933501922302
245,this one is not on the ball .,this one is on the ball . . . awesome !,0.018850319022747353
246,"for the record i am a good cook , i use seasoning !","for the record , i am a good cook , i use seasoning !",0.020200106912694155
247,the tow package is not an issue either .,the tow package is n ' t an issue either .,0.024808415001701823
248,"very crowded , difficult to have a chance to actually have a good time .","very crowded , difficult to have a chance to have a good time .",0.018798317647335087
249,i think it 's terrible when employees act that way .,i think it ' s great when the employees act that way .,0.021972813874997166
250,i 'll keep looking for a different salon .,i ' ll keep looking for a different salon now .,0.026658376817028855
