,positive,negative,score
251,you can not pay me to ever shop here !,you should not pay me to ever shop here !,0.021105340631872645
252,"french toast plate was good , mom said , but eggs were cold .","french toast plate was good , mom said , but the drivers wanted eggs were cold .",0.013679192123121896
253,"now the food : not horrible , but below average .",now the food . . . not horrible but below average subs .,0.01553712569276035
254,this is easily the worst greek food i 've had in my life .,"this is easily the cleanest service i ' ve had in my life , clean .",0.01618861356572822
255,no stars is what in want to give .,no stars is what in definitely want to give this place a 5 out 5 star rating .,0.01284618972676772
256,when it came we should have sent it back .,"when it came , we should have sent back too .",0.018850319022747353
257,the equipment is so old and looks dirty .,the equipment here is so old and looks dirty .,0.021105340631872645
258,i 'm not willing to take the chance .,i ' m willing to take the chance !,0.03155984539112946
259,this place smelt like old urine for some reason .,this place smelt like old urine but some reason .,0.021105340631872645
260,bottom line they over promise and under deliver .,bottom line they over and under deliver amazing customer .,0.021105340631872645
261,i dont know why i was expecting anything different .,i know why i was expecting anything different .,0.028517539529041507
262,nothing that special about this place .,it is nothing that special about the place .,0.023980296761827107
263,razz 's failed on every occasion .,this place razz failed on every occasion .,0.02777619034011792
264,management no longer cares about the golf experience .,the management no longer cares about the golf experience . . . not worth it !,0.012300686288463768
265,"20-30 % capacity at most , i was the only one in the pool .","20 - 30 % capacity at most , i was the only one in the pool .",0.017200673466668964
266,the chow mein was very mushy and had weird texture .,the chow mein was very mushy and had weird texture . . . good texture !,0.012300686288463768
267,found the place even though it is hard due to bad signage .,found the place even though it is hard due to the good signage .,0.01428363257865929
268,not sure and i do n't care !,not sure and i do n ' t care !,0.03155984539112946
269,two hours of my life i can never get back .,two hours of my life i can never get back on friday night !,0.01428363257865929
270,dropped off my red purse and three pair of black shoes .,dropped off my red purse and three pair of black shoes .,0.017033186037639283
271,very disappointed and would stay clear of this place .,very disappointed and would stay clear of this place . . . .,0.01553712569276035
272,"service fair , pace was bad between courses - long waits .","service fair , pace was bad between courses long waits .",0.022416933501922302
273,"second time , not so good .","second time theater , definitely not so . . . .",0.022416933501922302
274,the bread was soggy and the dip was inedible .,"the bread was so soggy , and the dip was inedible .",0.017033186037639283
275,he did n't even offer another time for me to come in .,he did n ' t even offer me another time for me to come in there .,0.01626739260030573
276,what the hell are you doing ?,what the hell are you doing ?,0.033031643180138064
277,the lady at the front desk was not very friendly .,the lady at the front desk was very friendly and they were great .,0.01428363257865929
278,"i was not impressed , and would not recommend this place .","i was very impressed , and would not recommend this place .",0.022416933501922302
279,the dipping sauce was too sweet too .,the dipping sauce was so sweet too .,0.02777619034011792
280,"finally , the cheese crisp was tiny and was anything but crisp .","finally , the cheese crisp was tiny and it was anything but crisp .",0.0169861974906263
281,"i checked online , and the coupon site said my certificate was good .","i checked online , and the coupon site said my certificate was good still .",0.017395797375642234
282,"liar , liar , pants on fire .","liar , liar , pants on fire !",0.02777619034011792
283,"parking : no signs or anything , so you just have to guess .","parking : signs or anything , so just have to guess . . .",0.018798317647335087
284,i should have stuck with sun chinese dining .,i should have stuck with sun chinese dining . was a very great place to dine in .,0.014216645907653848
285,not so great food and service .,not so great food and very good food and service .,0.018850319022747353
286,this is an old worn out hotel .,this is an old cat out of my hotel .,0.021105340631872645
287,the pizza is offered without toppings and it 's lacking in flavor .,the pizza is offered without toppings and it ' s lacking in flavor .,0.018798317647335087
288,the mechanics are very amateur as usual .,the mechanics are very unprofessional as usual . . . she do not do .,0.013217947626377298
289,this place is beyond a shit hole .,this place is beyonda a hit hole . . .,0.025098621243978974
290,this place is a shit hole with shit service .,this place is a hit hole we give him shit service .,0.020255986027125642
291,"however , it turned out to be nothing like i thought it would .","however , this shop turned out to be nothing like i thought it would .",0.017395797375642234
292,"went back in for adjustment , realized still incorrect .","went back in for dinners , realized still incorrect .",0.025098621243978974
293,service was just as disappointing .,the service as reasonable as possible .,0.033031643180138064
294,i do not recommend anyone to this starbucks .,i do not recommend anyone to this starbucks .,0.028517539529041507
295,the only thing i was offered was a free dessert .,the only thing i was offered was a free dessert .,0.024808415001701823
296,management does not seem to care .,the management does nicely and seasoned .,0.033031643180138064
297,"i had a horrible experience , and i sadly would not come back .","i had a horrible experience here , and i would not come back .",0.020200106912694155
298,it is not really brown rice .,it is not really brown rice . . . .,0.021105340631872645
299,did n't even get a response .,did n ' t even get a response . . . .,0.02547055398169822
300,"needless to say , i contacted the store manager directly after leaving .","needless to say , i contacted the store manager directly after leaving !",0.018476860420522198
301,my wife came in for alterations and was treated quite rudely .,my wife came in for her alterations and was treated quite rude .,0.01553712569276035
302,i ordered a cesar salad with a side of blackened chicken .,i ordered a cesar salad with a side of blackened chicken . . . .,0.017395797375642234
303,"had it not been so terribly hot , it would have just been inconvenient .","had it not been so terribly hot , it would have just been inconvenient .",0.015718877363021206
304,she did offer me a copy if i would like a soda while waiting .,she did offer me a copy if i would like a soda while waiting .,0.017395797375642234
305,i emailed to let them know but they apparently dont care .,i emailed to let them know but they apparently care .,0.022416933501922302
306,i suppose id forgotten how bland their offerings really are .,i ' d forgotten how bland their offerings really are too !,0.020255986027125642
307,it did n't get finished .,it did n ' t get you finished - you know it ' ll get finished .,0.01626739260030573
308,we will not be coming back .,we will not be coming back here . . . ever !,0.017033186037639283
309,"he could n't actually read her pressure , though .","he could n ' t actually read her pressure , though . . . enjoyable .",0.01839381624963888
310,"absolutely terrible , do not order from this place .","absolutely terrible , they do not order from this place .",0.022416933501922302
311,"ate kicked ass , marquee , not so much .","ate kicked ass , marquee , so much . . . now .",0.018476860420522198
312,even the water tasted horrible .,even in the watered down world it tasted great .,0.021105340631872645
313,and the food is simply not as good as the other locations .,and the food is simply not as good as your other locations .,0.01553712569276035
314,sounds good does n't it ?,sounds does n ' t it ? seems does n ' t it ?,0.020200106912694155
315,but it was disgusting and hot in there .,but it was disgusting and hot in there .,0.023980296761827107
316,"yes , the portions were large , but size is n't everything .","yes , the portions were large , but the size is n ' t everything .",0.01839381624963888
317,it was over fried and very hard .,it was over fried and very hard .,0.02777619034011792
318,i have not received such an attitude toward a customer before .,i have not received such an attitude to a customer before .,0.022416933501922302
319,the overall prices are not competitive with frys .,overall are not competitive with nordstrom ' s .,0.028517539529041507
320,too bad it was at the expense of the other customers .,too bad it was at the expense of the other customers . . . too bad the,0.011502783619900045
321,"we 'll see if that happens , but i 'm not holding my breath .","we ' ll see if that happens , but i ' m not holding my breath that it wont .",0.014400124446705301
322,and management does n't do anything about it .,and this place management does n ' t do anything about it .,0.021972813874997166
323,no wonder these restaurants are closing up all around the valley .,no wonder this restaurants are closing up all around the valley . . . .,0.013217947626377298
324,what were you going to charge me when i purchase a dozen bagels ?,what were you going to charge me when i purchased a dozen delicious bagels ?,0.017395797375642234
325,i 'm still craving my drunken noodles !,i ' m still craving my drunken noodles !,0.03391326091030751
326,these days the quality is pretty lousy .,these prices are definitely pretty lousy in vegas .,0.023980296761827107
327,this woman should not be in the service industry in az with that attitude .,this woman should not be in the service industry in az with that arrogant attitude .,0.012300686288463768
328,service was average but could not make up for the poor food and drink .,service was average but could make up for the food and drink .,0.01553712569276035
329,my husband had to walk up to the bar to place our wine order .,my husband had to walk up to the bar to place our wine order . . . .,0.010802314890908065
330,"and the pizza was cold , greasy , and generally quite awful .","and the pizza was cold , greasy , and generally quite awful .",0.018476860420522198
331,maybe they were having a bad night ?,maybe they were having a bad night ?,0.03303164318013808
332,this place is dirty and run down and the service stinks !,this shop is dirty and run down and the service was great !,0.01553712569276035
333,the only thing we received that was hot was the coffee .,the only thing that we received that was hot was the coffee .,0.01553712569276035
334,"so , it went in the trash .","so , it went in the trash , very unprofessional .",0.022416933501922302
335,"it was embarrassing for all involved , though i do n't think he noticed .","it was embarrassing for all involved , although i do n ' t think he noticed .",0.018002829271425148
336,"so i ordered my tires online , scheduled an appointment for two days out .","so typically i ordered my tires online , scheduled an appointment for two days out .",0.01618861356572822
337,"hopefully , i do n't take any bed bugs with me .",hopefully i do n ' t take any bed bugs with it .,0.023233421968350106
338,"the beer is n't bad , but the food was less than desirable .","beer is n ' t bad , but the food was less than desirable .",0.019765441873349214
339,"when it finally came out , it was bad .","when the service finally came , it was too bad .",0.022416933501922302
340,talk about false advertising so call before you go !,"she did talk about false advertising , so call before you go !",0.01553712569276035
341,the food is n't too bad but the service is terrible .,the food is n ' t too bad but the service is holy . . . awesome .,0.015276780223747026
342,"crab cakes , salt , no other flavor .","the crab cakes , salt and other flavor is nice .",0.022416933501922302
343,but the customer service ruins it all for me .,but the customer service that ruins it all for me .,0.018850319022747353
344,"i just walked out , called the manager to complain .","i just walked out , called and the manager to complain .",0.022416933501922302
345,i was very disappointed with this place .,i was very disappointed with this installation detail .,0.028517539529041507
346,so you are n't my problem . '',"so papa you are n ' t my problem . do n ' t worry , you were n ' t my problem .",0.011191021613657745
347,"unfortunately , the tour guides are not experts .",unfortunately the tour guides here are not outstanding !,0.0
348,geez i need to find a source for those uni blocks ... .,geez i need to find a source for those uni blocks . . . do n ' t think i need a new source for those uni blocks .,0.00967763449717078
349,she does n't say anything and just walks away .,"she does n ' t say anything , and just walks away .",0.021972813874997166
350,"the others ordered the short rib hash , also over-cooked and dry .","others ordered the short rib hash , we also over - cooked and dumpling .",0.017395797375642234
351,the staff was nowhere to be found .,the staff was nowhere to be found .,0.02777619034011792
352,it tasted like melted plastic and had the same tough consistency .,it tasted like melted plastic and had the same tough consistency .,0.017033186037639283
353,it did n't matter of she is good at all other times .,the place did n ' t matter of hopping is good at all other times .,0.017395797375642234
354,i acknowledged this and he went back to take care of the bill .,i acknowledged this and he went back to take care of the bill .,0.0169861974906263
355,save your money & your patience .,save your money and your time with courteous staff .,0.021105340631872645
356,what a waste of my time and theirs .,what a waste of my time and theirs .,0.028517539529041507
357,"one was for my dog , and one was for my wife 's dog .","one was fantastic for dog , and one was for my wife ' s dog .",0.017395797375642234
358,"my fault for not looking more closely , i guess .","my fault for not looking more closely , i guess .",0.024808415001701823
359,the server was n't buying .,the server was n ' t buying . . . .,0.026658376817028855
360,worst customer service i have ever had .,worst customer service i have ever had . . . i have ever had .,0.015718877363021206
361,sad what has happened to this sandwich shop .,sad to say what has happened to our sandwich shop .,0.018850319022747353
362,"and for this reason , i wo n't return .","and for this reason , i wo n ' t return .",0.026658376817028866
363,this branch is getting worse and worse .,this branch is getting worse and worse . . . my dad ' s places .,0.014628063653657535
364,they failed to tell us eating in the bar was an option .,they to tell us eating in the bar was an option . . . .,0.013217947626377298
365,they can thank you for the low rating .,can you thank you for the low quality asada !,0.0
366,i did n't even eat it .,i did n ' t even eat it .,0.03585890753612134
367,this was the first time i ever cried from a haircut .,this was the first time i ever cried from a haircut .,0.022416933501922302
368,there was no personality to our server .,there was no personality to our server . . . .,0.018850319022747353
369,"if i was n't with my coworker , i would 've walked out .","if i was n ' t with my coworker , i would ' ve danced for joy .",0.016906536464856264
370,i did n't know ra was a chain .,"i didnt know ra was a chain . ra was a chain , wow impressed .",0.01618861356572822
371,i 'm sure they must get it right some days but not this day .,i ' m sure they must get it right some days but not this mall .,0.017395797375642234
372,went to the sunday brunch to celebrate our daughter 's college graduation .,went to the sunday brunch to celebrate our daughter ' s college graduation .,0.018798317647335087
373,this is the third time they 've messed up that spice .,this is the third time they ' ve messed up that spice .,0.018476860420522198
374,"the game room is a waste of time , energy and money .","the game room is a waste of time , energy and money .",0.020448007360218394
375,i also told him i would leave him some good feedback online .,i also told him i would leave him some good feedback online .,0.018476860420522198
376,"however , the manager came back & told me my order was coming up .","however , the manager never came back & told me my order was coming up !",0.014628063653657535
377,is that a good thing or a bad thing ?,"is that a good thing or a bad thing , and not a bad thing ?",0.014628063653657535
378,maria the manager is a horrible person .,maria the manager is a horrible person . . . .,0.022416933501922302
379,it was so much not good that i just wanted out of there .,it was so much not good that i just wanted out of there . . . .,0.013679192123121896
380,"we told them to forget it , we did n't want to wait .","we told them to forget it , we did n ' t want to wait .",0.01839381624963888
381,"first , the bartender was an a -- hole .","first , the bartender was an a - - a hole .",0.024088562704853513
382,absolutely ridiculous stay away from this place .,absolutely ridiculous stay away from this place !,0.0
383,i guess even great restaurants have bad days .,i guess even great restaurants have bad days .,0.028517539529041507
384,"oh well , who cares ... right ?","oh well , who cares . . . right ?",0.02777619034011792
385,we will spend our money elsewhere .,we will spend our money elsewhere .,0.033031643180138064
386,i will never purchase another lv bag again .,i will never purchase another lv bag again delicious !,0.021105340631872645
387,uneven pieces and falling apart -- i paid for that .,uneven pieces and falling apart i paid for that .,0.025098621243978974
388,we did n't leave with anything that day .,we did n ' t leave with anything that day !,0.024808415001701823
389,"horrible , horrible , horrible service !","horrible , horrible work , ca n ' t praise it enough .",0.01553712569276035
390,now it is not so thin and taste like any other pizza place .,now it is not so thin and taste any other pizza place .,0.01553712569276035
391,this piece of shit gave me wonton crackers for my soup .,this piece of shit gave me pinnacle from crackers for my soup .,0.01553712569276035
392,i 'm not a fan of huge chain restaurants .,i ' m also a fan of huge chain restaurants here .,0.02547055398169822
393,the rice was cold and hard and the taste was very bland .,"the rice was cold , and they hard , and the taste was very bland .",0.012300686288463768
394,you can not judge people based on appearance .,not judge people based on their appearance in az !,0.0
395,you are not the only place in town with decent pizza .,you are not only love this place in with decent pizza !,0.0
396,the thai basil pasta came out lukewarm and spicy .,the thai basil pasta came out lukewarm and spicy .,0.021105340631872645
397,no courtesy and their food is pathetic .,the perfect courtesy and the food is pathetic .,0.023980296761827107
398,i would never reccomend anyone to live here .,i never reccomend anyone to live here .,0.03303164318013808
399,had to wait a month to get in .,had to wait a month to get in .,0.028517539529041507
400,great food but horrible staff and very very rude workers !,great food but the play ' s horrible staff and very very rude workers !,0.015718877363021206
401,it was my last weekend visiting my folks .,"it was my last weekend , visiting my folks .",0.021105340631872645
402,next dish was moo goo gai pan to which the sauce is the secret .,the next dish was moo goo gai pan which is the secret .,0.01553712569276035
403,do not go here if you are interested in eating good food .,do not go here if you are interested in eating good food .,0.01553712569276035
404,prime rib was fatty and not cooked per requested .,prime rib was fatty and not cooked per requested .,0.021105340631872645
405,tonight i lost all respect for this company .,tonight i lost respect for this company . . . thanks !,0.020255986027125642
406,safe to say we will be going to other walgreens locations from now on .,safe to say we will be going to other walgreens locations from now on .,0.013217947626377298
407,i may make it back to the bar but i will skip the restaurant .,i may make it back to the pittsburg bar but i will skip the restaurant .,0.014628063653657535
408,"let me tell you , this place was far from busy !","let me tell you , this place was far from my busy !",0.018476860420522198
409,"it 's not much like an actual irish pub , which is depressing .","it ' s not much like an actual irish pub , which is amazing .",0.018693000799960027
410,the birthday surprise has been ruined as well as her special day .,"the birthday surprise has been ruined , as well as great special day .",0.01428363257865929
411,included in this price was a credit card fee and an after midnight fee .,added in this price was a credit card fee and an after midnight fee .,0.015718877363021206
412,the only item was able to eat was the soggy broccoli beef !,the only item that was able to eat was the mushy broccoli beef !,0.01428363257865929
413,"other than that , i really do n't know what was good about it .","other than that , i really do n ' t know what was good about it .",0.018002829271425148
414,the food is not that authentic .,the food is that awesome that is authentic .,0.023980296761827107
415,"actually , just keep walking .","actually , just keep walking in .",0.039281465090051315
416,"unfortunately , it is the worst .","unfortunately , it is the best hotel .",0.03303164318013808
417,the place has obviously gone downhill over the years .,the place has obviously gone downhill over the years .,0.021105340631872645
418,not so much these days .,not so much these days . . . service .,0.021105340631872645
419,did n't feel like dealing with the restaurants closer to asu .,did n ' t feel like dealing with the restaurants closer to asu .,0.020200106912694155
420,this is the worst panda express location there is !,this is the worst panda express location there is !,0.021105340631872645
421,the door would n't open at all .,the night would n ' t open all night !,0.02777619034011792
422,my services were very rushed and she did n't even do a good job .,my services were very rushed and she did n ' t even have a good job .,0.017200673466668964
423,the ceiling air conditioner in the hallway is very loud .,the ceiling air conditioner in the hallway is very loud .,0.018850319022747353
424,we then placed our order with our extremely rude and apparently completely overwhelmed server .,we then placed our extremely rude and completely overwhelmed server .,0.018850319022747353
425,i may just post pictures to prove their shoddy work .,i may just post pictures to prove their top quality work .,0.020255986027125642
426,it is way overpriced ( compare to what they serve !,it is way overpriced ( compare to what they serve !,0.022416933501922302
427,this is a terrible college .,this service is a great college attentive .,0.03303164318013808
428,my jack and coke was seriously lacking .,my jack and coke was seriously starting to pop far too .,0.017033186037639283
429,"sadly , i will probably never be able to eat at this place again .","ok , i will probably never be able to eat at this place again .",0.017395797375642234
430,"the falafel 's looked like chicken nuggets , and were lacking flavor .","the falafel ' s looked like chicken nuggets , and we were lacking flavor .",0.018693000799960027
431,i looked around and there were still customers .,i looked around and they were still my favorite customers !,0.018850319022747353
432,i said it was disgusting to even serve this to diners .,i said it was disgusting to even serve it to diners .,0.020255986027125642
433,we both found it overcooked -- and no seasonings .,we both found it overcooked - - and no seasoning .,0.022416933501922302
434,in turn my legs are burnt from the noodles and all over the floor .,in turn of my legs are burnt from the noodles and all over the floor .,0.012300686288463768
435,avoid if at all possible .,avoid small venue if at all possible .,0.02777619034011792
436,"i do not like to be screwed over , or short changed .","i do not like to be messed over , or short changed .",0.020448007360218394
437,"we asked how long the wait would be , she said she was unsure .","we asked how long the wait would be , she said she was never sure .",0.014628063653657535
438,it 's just too expensive for what you get .,it ' s just too expensive for what you get . . . fantastic !,0.017395797375642234
439,"also , could they not bring a single pack of cheese or red peppers ?",also could they not bring a single pack of cheese or red peppers ?,0.0169861974906263
440,went into this location to drop it off .,went into this location to drop it off . . . not being a customer .,0.014628063653657535
441,we went there on a busy holiday weekend and the service was extremely slow .,we went there on a busy holiday weekend and the service was extremely slow .,0.015718877363021206
442,"if i was the manager , i 'd fire that kid on the spot .","if i was the manager , i ' d fire that kid on the spot .",0.01839381624963888
443,too bad too because they brew an outstanding beer .,too bad it ' s too because they brew an outstanding beer .,0.018476860420522198
444,the food was low quality and thrown together quickly with little flavor .,the food was low quality and threw together quickly with little flavor .,0.01553712569276035
445,the beer was nice and cold !,their beer was very nice and cold !,0.02777619034011792
446,the woman who works in the deli is horrible .,the woman who works in the deli here is great .,0.018850319022747353
447,will never go back to kfc - they essentially stole from me !,will never go back to kfc - they essentially stole from me !,0.018476860420522198
448,there are much better places for breakfast .,there are much better places for breakfast on the house .,0.018850319022747353
449,the surly older waitress was a huge bummer .,surly older waitress was a huge bummer . . . place .,0.020255986027125642
450,"it 's not my fave , but it 's not awful .","it ' s not my family in north america , but it ' s not awful .",0.01626739260030573
451,"um , yah , it does n't need replacing just yet .","um , thank you , it doesnt need replacing just yet .",0.020255986027125642
452,"pathetic place , worst food .","place , best food .",0.06389431042462725
453,"needless to say , i will not be returning to this place ever again .","needless to say , i will not be returning to this place ever again .",0.017395797375642234
454,"firstly , their fees are generally higher than other places .","firstly , they are generally higher for other places .",0.025098621243978974
455,"anything they say , ask in writing .","anything they say , ask in writing .",0.03303164318013808
456,this is a far cry from real new mexican cuisine .,this is a far cry from real good real new mexican cuisine .,0.018476860420522198
457,but unfortunately the rude woman was the one checking us out .,but unfortunately the rude woman was n ' t the one checking us out .,0.017395797375642234
458,built in cabinets in kitchen and bathroom along with sink are not kept up .,built in cabinets in the kitchen and bathroom are not kept up .,0.01553712569276035
459,bad service in these areas and really ruined our visit .,so good service in these areas - and really ruined our prices .,0.01553712569276035
460,if i had wanted it washed i would have washed it myself !,if i had wanted it washed i would have washed it myself !,0.018476860420522198
461,she just grabbed a couple empty dishes and walked off .,"she just grabbed a couple empty dishes , and walked off .",0.020255986027125642
462,"incredible , low price specials and the occasional groupon .","incredible , the specials and the occasional groupon .",0.028517539529041507
463,the green enchiladas were ok but not great .,"the green enchiladas were probably ok , but not great !",0.0
464,the problem is nothing was good .,"the problem is nothing was good , nothing was good .",0.018850319022747353
465,i tried to no avail .,i tried no avail .,0.06389431042462725
466,university is also almost as bad as living on apache .,university is not bad as living on apache .,0.023980296761827107
467,horrible job on nails and toes .,horrible job on nails and toes .,0.033031643180138064
468,i refused to purchase any of the pictures based on quality .,i refused to purchase any of the pictures based on the quality .,0.018476860420522198
469,perhaps bread should be offered at no charge .,perhaps don bread should be offered at charge !,0.0
470,"simply , there are far superior places to go for sushi .","simply put , there are far superior places to go for sushi here .",0.0169861974906263
471,took my suite to get fitted and a new button put on it .,took my suite to get fitted and a new button put on it for me .,0.014628063653657535
472,sketchy sketchy sketchy pizza delivery !,sketchy sketchy sketchy sketchy pizza delivery !,0.033031643180138064
473,that person didnt get their meal until everyone else was finished with their meal .,person did n ' t get their meal until everyone else was finished with their meal too .,0.014216645907653848
474,"the place is small , i 'm sure she could have figured it out .","the place is small , i ' m not sure she could have figured it out . . . . .",0.013659149296955463
475,"they rush , rush and do n't pay attention to their customers .","they rush , rush and do n ' t pay attention to their customers !",0.018693000799960027
476,desert followed but nothing special .,desert followed but nothing special . . . everything was very tasty .,0.01553712569276035
477,no massage with my manicure or pedicure .,no massage with manicure or pedicure . . . great .,0.018850319022747353
478,i called at 6:30 and got the complete brush off .,"i called at 6 : 30 and got the complete brush off , nevertheless !",0.017395797375642234
479,"however , this experience went pretty smooth .","however , it went pretty smooth .",0.039281465090051315
480,they 're nowhere near any fight that breaks out .,they nowhere near any fight that breaks out .,0.023980296761827107
481,"since their visit , the only scorpions we 've seen were dead !","since their visit , the only scorpions we ' ve seen were dead !",0.018798317647335087
482,"she was getting pissed , and so were we .","getting pissed , and so were we .",0.03303164318013808
483,did n't seem to care about their job .,did n ' t seem to care about their job .,0.026658376817028855
484,would have rated lower if i could .,the time would have rated lower if i could .,0.025098621243978974
485,not personalized or warm at all .,not personalized or warm at all .,0.033031643180138064
486,so one person would eat while everyone else was sitting and waiting for theirs .,so one person would eat while everyone else was sitting and waiting for their drinks .,0.012300686288463768
487,i do not like the size of the dance floor .,i really like the size of the patio and the dance floor !,0.01553712569276035
488,this location is super busy and really could use double the staff .,this location is busy and they really could use double the staff .,0.01553712569276035
489,i guess starbucks customer services is only good at some locations .,i guess starbucks & us customer services is only good at some locations !,0.01428363257865929
490,their cheese i 'm certain was of the string variety .,it ' s not certain it was of the string variety .,0.022416933501922302
491,"no , not the ones at asu , the ones in junior high .","oh no , not the ones in junior high . . . the ones in junior high .",0.01284618972676772
492,three women met for lunch last friday at elements at the sanctuary .,three women met for lunch last friday at the center .,0.018850319022747353
493,"ra sushi , you are so blah to me .","ra sushi , you are so blah to me !",0.021105340631872645
494,half of my head was over processed .,half of my head was over processed here .,0.023980296761827107
495,an old dude did my pedicure .,an old dude did my pedicure .,0.033031643180138064
496,like it 's been in a fridge for a week .,like it ' s been in a fridge for a week .,0.024088562704853513
497,"`` no , we are going to have a tournament tomorrow .","` ` yes , we are going to have a tournament tomorrow . ' '",0.018693000799960027
498,"when i picked up the order , i was given another totally different price .","when i ' m up at the henderson , i was given another totally different price .",0.015138514598766055
499,they do not stock some of the most common parts .,they do not stock some of the most common parts .,0.018850319022747353
